Job Title,Job Info,Position,Employer,City,Province,Skill,Seniority,Work Type,Industry Type,Min_Salary,Max_Salary,Avg_Salary,Skill_List,Education_Level
Senior Business Analysts,"Analyst, Business Intelligence",BI Analyst,Bell,Toronto,ON,"Sql, Confluence, Sas, Jira, Teradata",ANY,In-Person,Others,66000.0,84500.0,75250.0,"['sql', 'confluence', 'sas', 'jira', 'teradata']",Bachelor's
Senior Business Analysts,Senior Data Engineering Analyst,Data Engineer,Loblaw Companies Limited,Brampton,ON,"Sql, Python, Confluence, Excel, Java, Teradata, Jira",Senior,In-Person,Technology,66000.0,84500.0,75250.0,"['sql', 'python', 'confluence', 'excel', 'java', 'teradata', 'jira']",Bachelor's
Senior Business Intelligence Analysts,Principal Services Operations Analyst,Analyst,Dayforce,Remote,Undef,"Power Bi, Excel, Database",Senior,Remote,Others,83500.0,149300.0,116400.0,"['power bi', 'excel', 'database']",Bachelor's
Senior Business Analysts,Senior Systems Analyst,System Analyst,IG Wealth Management,Toronto,ON,Sql,Senior,In-Person,Others,30240.56,57200.0,43720.28,['sql'],Bachelor's
Senior Data Analysts,Treasury Data Analyst,Data Analyst,GFL Environmental,Vaughan,ON,"Sql, Database, Crystal, Excel",ANY,In-Person,Others,69000.0,86000.0,77500.0,"['sql', 'database', 'crystal', 'excel']",Bachelor's
Senior Business Intelligence Analysts,business intelligence specialist,Data Specialist,Ramp Group,Surrey,BC,Undef,Senior,In-Person,Others,95680.0,95680.0,95680.0,['undef'],Bachelor's
Senior Business Analysts,Senior Business Analyst,Business Analyst,Evolution Mining,Red Lake,ON,Undef,Senior,In-Person,Others,66000.0,84500.0,75250.0,['undef'],Bachelor's
Senior Business Analysts,Associate IT Business Analyst,Data Associate,Manulife,Toronto,ON,Database,Mid,In-Person,Others,30240.56,57200.0,43720.28,['database'],Bachelor's
Senior Business Intelligence Analysts,Decision Support Analyst,Analyst,ErinoakKids Center for Treatment and Development,Mississauga,ON,"Sql, Excel, Database",ANY,In-Person,Construction,68000.0,88300.0,78150.0,"['sql', 'excel', 'database']",Bachelor's
Senior Business Intelligence Analysts,"Analyst, Digital Advisory Federal Government",Analyst,MNP,Ottawa,ON,Excel,ANY,In-Person,Others,68000.0,88300.0,78150.0,['excel'],Bachelor's
